feedback_id,question_id,question_text,original_intent,corrected_intent,feedback_type,feedback_text,created_at
50,26,Apakah ada biaya bulanan?,biaya_pendidikan,,helpful,Intent sudah benar,2026-01-01T07:36:56.196122
49,25,Berapa biaya pendaftaran nya?,biaya_pendidikan,,helpful,Intent sudah benar,2026-01-01T07:36:50.901798
48,17,"Jika ingin mendaftar, apa saja syarat dan ketentuannya",syarat_pendaftaran,,helpful,Intent sudah benar,2026-01-01T07:36:26.010497
47,46,Santri boleh membawa hp gak?,faq_umum,,helpful,Intent sudah benar,2026-01-01T07:36:20.473724
46,27,bagaimana kegiatan harian santri ?,kegiatan_harian,,helpful,Intent sudah benar,2026-01-01T07:36:13.736498
45,12,Apa saja kegiatan sehari-hari santri,kegiatan_harian,,helpful,Intent sudah benar,2026-01-01T07:36:08.964831
44,3,apa saja syarat masuk pondok pesantren ?,syarat_pendaftaran,,helpful,Intent sudah benar,2026-01-01T07:36:04.214539
43,24,Kalo program unggulannya apa saja?,program_unggulan,,helpful,Intent sudah benar,2026-01-01T07:36:00.410277
42,11,Apa saja formulir untuk pendaftaran online?,link_formulir,,helpful,Intent sudah benar,2026-01-01T07:35:53.872673
41,16,Program unggulannya nya ada apa saja?,program_unggulan,,helpful,Intent sudah benar,2026-01-01T07:35:47.014090
40,20,"Untuk mengisi formulir secara online, formulir apa saja yang dibutuhkan?",link_formulir,,helpful,Intent sudah benar,2026-01-01T07:35:38.739552
39,39,Jadwal harian nya bagaimana?,kegiatan_harian,,helpful,Intent sudah benar,2026-01-01T07:35:34.657570
38,41,Kapan waktu liburnya?,info_pendaftaran,faq_umum,wrong_intent,,2026-01-01T07:35:25.022421
37,8,Apa saja syaratnya?,syarat_pendaftaran,,helpful,Intent sudah benar,2026-01-01T07:35:14.096832
36,14,Apa saja program pendidikannya?,program_unggulan,program_unggulan,wrong_intent,,2026-01-01T07:34:56.596628
35,53,Kalo santri nya sakit gimana?,kegiatan_harian,faq_umum,wrong_intent,,2026-01-01T07:34:25.505552
34,47,Barang yang wajib dibawa apa saja?,syarat_pendaftaran,faq_umum,wrong_intent,,2026-01-01T07:34:17.630006
33,48,Santri baru wajib bawa barang apa saja?,syarat_pendaftaran,faq_umum,wrong_intent,,2026-01-01T07:34:07.065333
32,40,Libur panjangnya kapan?,info_pendaftaran,,not_helpful,Admin tidak yakin dengan intent,2026-01-01T07:33:45.412575
31,38,Pesantren ini berdiri sejak kapan?,info_pendaftaran,faq_umum,wrong_intent,,2026-01-01T07:33:29.046090
