text,intent
Kapan pendaftaran santri baru dibuka tahun ini?,info_pendaftaran
Mohon info jadwal penerimaan santri baru pondok ini,info_pendaftaran
Pendaftaran santri baru biasanya mulai bulan apa?,info_pendaftaran
Saya ingin tahu periode pendaftaran gelombang pertama,info_pendaftaran
Apakah pendaftaran masih dibuka saat ini?,info_pendaftaran
Kapan jadwal resmi pendaftaran santri diumumkan?,info_pendaftaran
Tahun ini ada berapa gelombang pendaftaran?,info_pendaftaran
Apakah sudah buka pendaftaran untuk tahun ajaran depan?,info_pendaftaran
Informasi pendaftaran santri bisa dilihat di mana?,info_pendaftaran
Pendaftaran santri baru sampai kapan?,info_pendaftaran
Kapan batas akhir pendaftaran santri?,info_pendaftaran
Apakah pendaftaran dibuka setiap tahun?,info_pendaftaran
Saya ingin tahu alur pendaftaran santri baru,info_pendaftaran
Bagaimana tahapan pendaftaran santri?,info_pendaftaran
Kapan pengumuman penerimaan santri?,info_pendaftaran
Apakah pendaftaran dibuka offline juga?,info_pendaftaran
Jadwal pendaftaran pesantren tahun ini apa?,info_pendaftaran
Mulai kapan pendaftaran santri?,info_pendaftaran
Apakah masih menerima pendaftaran sekarang?,info_pendaftaran
Info singkat pendaftaran santri baru,info_pendaftaran
Saya ingin tanya waktu pendaftaran santri,info_pendaftaran
Apakah ada gelombang kedua pendaftaran?,info_pendaftaran
Kapan pendaftaran biasanya ditutup?,info_pendaftaran
Pendaftaran santri dimulai tanggal berapa?,info_pendaftaran
Apakah pendaftaran sudah full?,info_pendaftaran
Kapan waktu terbaik mendaftar?,info_pendaftaran
Apakah pendaftaran bisa lewat admin?,info_pendaftaran
Saya ingin tahu timeline pendaftaran,info_pendaftaran
Jadwal penerimaan santri bagaimana?,info_pendaftaran
Apakah pendaftaran diperpanjang?,info_pendaftaran
Pendaftaran tahun ini apakah sama seperti tahun lalu?,info_pendaftaran
Apakah ada pendaftaran susulan?,info_pendaftaran
Informasi lengkap pendaftaran santri,info_pendaftaran
Kapan mulai seleksi pendaftaran?,info_pendaftaran
Apakah pendaftaran dibuka bulan ini?,info_pendaftaran
Saya mau tanya kapan buka pendaftaran,info_pendaftaran
Pendaftaran santri dibuka sampai bulan apa?,info_pendaftaran
Kapan awal pendaftaran?,info_pendaftaran
Apakah pendaftaran sudah resmi dibuka?,info_pendaftaran
Kapan jadwal pendaftaran keluar?,info_pendaftaran
Kapan mulai daftar santri baru?,info_pendaftaran
Apakah pendaftaran masih tersedia?,info_pendaftaran
Pendaftaran pesantren dimulai kapan?,info_pendaftaran
Saya butuh info waktu pendaftaran,info_pendaftaran
Apakah sekarang masih fase pendaftaran?,info_pendaftaran
Apakah pendaftaran ditutup sementara?,info_pendaftaran
Kapan jadwal pendaftaran diumumkan resmi?,info_pendaftaran
Info pendaftaran santri tahun ini,info_pendaftaran
Apa saja syarat administrasi pendaftaran santri?,syarat_pendaftaran
Dokumen apa yang harus disiapkan untuk mendaftar?,syarat_pendaftaran
Apakah ada batas usia minimal santri?,syarat_pendaftaran
Apakah harus bisa membaca Al Quran saat mendaftar?,syarat_pendaftaran
Apakah ada tes masuk bagi calon santri?,syarat_pendaftaran
Syarat utama masuk pesantren ini apa saja?,syarat_pendaftaran
Apakah perlu surat rekomendasi?,syarat_pendaftaran
Apa syarat pendidikan terakhir calon santri?,syarat_pendaftaran
Apakah harus lulusan sekolah tertentu?,syarat_pendaftaran
Apakah ada seleksi wawancara?,syarat_pendaftaran
Syarat pendaftaran santri putra apa?,syarat_pendaftaran
Syarat pendaftaran santri putri apa?,syarat_pendaftaran
Apakah santri pindahan punya syarat khusus?,syarat_pendaftaran
Apakah harus sehat jasmani dan rohani?,syarat_pendaftaran
Syarat administrasi lengkapnya apa?,syarat_pendaftaran
Apakah wajib melampirkan kartu keluarga?,syarat_pendaftaran
Apakah perlu ijazah asli?,syarat_pendaftaran
Syarat daftar untuk lulusan SD apa?,syarat_pendaftaran
Apakah ada syarat hafalan tertentu?,syarat_pendaftaran
Apakah harus mengikuti tes baca Al Quran?,syarat_pendaftaran
Syarat usia maksimal santri?,syarat_pendaftaran
Apakah perlu surat keterangan sehat?,syarat_pendaftaran
Syarat masuk pesantren apa saja?,syarat_pendaftaran
Apakah ada syarat tinggi badan?,syarat_pendaftaran
Apakah wajib tes tulis?,syarat_pendaftaran
Apakah harus bisa bahasa Arab?,syarat_pendaftaran
Apakah ada syarat domisili?,syarat_pendaftaran
Syarat pendaftaran lengkap santri baru?,syarat_pendaftaran
Apa saja ketentuan pendaftaran santri?,syarat_pendaftaran
Apakah harus datang langsung?,syarat_pendaftaran
Apakah ada syarat nilai rapor?,syarat_pendaftaran
Syarat mendaftar santri pindahan?,syarat_pendaftaran
Apakah perlu surat pindah sekolah?,syarat_pendaftaran
Syarat administrasi santri baru?,syarat_pendaftaran
Apakah ada syarat khusus tahfidz?,syarat_pendaftaran
Apakah calon santri diseleksi?,syarat_pendaftaran
Syarat pendaftaran jalur reguler?,syarat_pendaftaran
Syarat pendaftaran jalur prestasi?,syarat_pendaftaran
Apakah perlu pas foto?,syarat_pendaftaran
Dokumen wajib pendaftaran apa saja?,syarat_pendaftaran
Apakah harus izin orang tua?,syarat_pendaftaran
Syarat pendaftaran tahun ini apa?,syarat_pendaftaran
Apakah ada syarat khusus akhlak?,syarat_pendaftaran
Apakah harus ikut tes pesantren?,syarat_pendaftaran
Syarat mendaftar santri baru?,syarat_pendaftaran
Apa ketentuan umum pendaftaran?,syarat_pendaftaran
Apakah santri luar kota bisa daftar?,syarat_pendaftaran
Syarat daftar mondok?,syarat_pendaftaran
Berapa biaya pendidikan per bulan?,biaya_pendidikan
Berapa SPP santri setiap bulan?,biaya_pendidikan
Apakah biaya asrama sudah termasuk?,biaya_pendidikan
Rincian biaya masuk pesantren apa saja?,biaya_pendidikan
Berapa biaya pendaftaran awal?,biaya_pendidikan
Apakah ada biaya makan bulanan?,biaya_pendidikan
